3,60,0,1.0,I,0
3,60,1,2.0,I,10
3,60,2,3.0,I,20
3,60,3,4.0,I,30
3,60,4,5.0,I,40
3,60,5,6.0,I,50
3,60,6,7.0,I,60
3,60,7,8.0,I,70
3,60,8,9.0,I,80
3,60,9,10.0,I,90
3,60,10,11.0,I,100
3,60,11,12.0,I,110
3,60,12,13.0,I,120
3,60,13,14.0,I,130
3,60,14,15.0,I,140
3,60,15,16.0,I,150
3,60,16,17.0,I,160
3,60,17,18.0,I,170
3,60,18,19.0,I,180
3,60,19,20.0,I,190
3,60,20,21.0,I,200
3,60,21,22.0,I,210
3,60,22,23.0,I,220
3,60,23,24.0,I,230
3,60,24,25.0,I,240
3,60,25,26.0,I,250
3,60,26,27.0,I,260
3,60,27,28.0,I,270
3,60,28,29.0,I,280
3,60,29,30.0,I,290
3,60,30,31.0,I,300
3,60,31,32.0,I,310
3,60,32,33.0,I,320
3,60,33,34.0,I,330
3,60,34,35.0,I,340
3,60,35,36.0,I,350
3,60,36,37.0,I,360
